new_id,Годовая выручка
0,565794562.6874112
1,575065119.4031222
2,828109986.658014
3,1357893698.5885334
4,890114638.4127274
5,362210009.97368765
6,1587740505.2482672
7,692934299.8502593
8,421055608.6917375
9,771729095.3741206
10,681529551.5488101
11,466620690.28779846
12,358409486.77466387
13,1042134357.351973
14,882916632.5821954
15,453316665.70867205
16,909917403.3158036
17,679489554.3245062
18,1129071543.074497
19,460377119.43208694
20,1021311678.6548915
21,837566523.0077715
22,436358416.863846
23,636999708.6717715
24,751577706.2286469
25,549232195.0667378
26,1423413798.2456026
27,759774733.316536
28,517823273.95329356
29,578827758.7573379
31,555586581.9415648
32,469348307.9455538
33,274431025.1381311
34,1239274334.1657662
35,1115943245.6313345
36,517785695.719405
37,626737008.9812896
38,404456292.19785273
39,1111823182.062483
40,423345309.36215544
41,364255315.6917166
42,361928250.013164
43,407510716.85528105
44,1066177340.4743978
45,1160634126.7577116
46,815354749.1795983
47,907319442.5069033
48,1036193435.2071255
49,522182649.0477787
50,665130321.3883837
51,798124740.7002035
52,815129219.0818834
54,772978392.8750505
55,496659711.22183686
56,467259532.0949841
57,664116704.4186441
58,691233119.5318012
59,362072251.8146349
60,708482518.8287446
61,304309346.00942636
62,489732161.7618817
63,513024024.0259599
64,502947900.1364603
65,485945879.12842584
66,497359803.19088084
67,345353169.33126354
68,502508815.35745525
70,657398043.5198714
71,539359921.9866312
72,873597836.4822395
73,647089026.5502701
74,1354638256.972452
75,428099846.47060305
76,829820522.3245345
78,383095797.84441745
79,963924023.0020137
80,1227863646.674319
81,431753889.60764396
82,742108841.1019628
83,692909649.7942791
84,1026739765.9867392
85,553541142.0820479
86,811279287.3912933
87,587761900.7254246
88,1222475148.6986275
89,633004533.0805653
91,704357845.3253324
93,721110428.2716764
94,635704482.0680009
95,733178326.7502106
96,606662815.837385
97,750564540.6129105
98,463590494.6792277
99,616142939.3755697
101,810298123.5214436
102,753370082.9633781
103,511987011.8692044
104,578958350.0026166
105,802378080.4021866
106,1032893843.6931703
107,560132211.9245205
108,975611126.3808006
109,272988833.1680567
110,578454175.6036627
111,1474546446.7820668
112,628942268.0711502
113,1302534048.3057048
114,891209115.4635801
115,452405757.7003504
116,470463672.4635203
117,834014372.5188452
118,1414877138.580908
119,812489909.545498
120,547852893.2749622
122,612179637.8513088
123,984788676.4490222
124,468244601.0488205
125,667253773.5303704
126,404970759.4528684
127,562399628.7727307
128,614345643.9177743
129,807362142.3940426
130,812487759.7101203
131,1225267527.327573
132,652244833.160371
133,449454838.91647464
134,844070119.558079
135,1213339987.8142836
137,820826580.6377871
138,1031536603.3342129
139,505842567.3847908
140,455084815.89286953
141,680380873.0010055
142,777372016.8566896
143,459235792.6118179
144,1160802754.2624342
145,466887929.2627937
146,524418253.4691549
147,332382047.384411
148,1197628952.7246664
149,419502938.8061533
150,1107054697.7217805
151,1170352090.8277872
152,803243033.7282457
153,508464057.8694695
154,539604561.0629036
155,1127423850.7630513
156,587304685.4207067
157,825171837.2032087
158,559250187.0190367
160,597507252.5769502
162,397012221.37018085
163,537872998.4088098
164,598436765.3194827
165,747025956.4862808
166,654190846.8896346
167,459866742.87858355
168,576295697.4363
169,582534555.596863
170,526332517.2251468
171,615619445.3831921
172,816171504.2005422
173,732158246.1974428
174,588828882.832061
175,406097747.8069288
176,955727749.0276458
177,506376513.44289297
178,752798092.3298452
