id,address,area_m2,url
326602909,"Москва, САО, р-н Беговой, м. Белорусская, Ленинградский проспект, 15С10",433.0,https://www.cian.ru/rent/commercial/326602909/?context=4.CJFLT4VDgGY.O0XCBV5DOWrCXzOrI5esl4Cvjxs6sDVVJ8aaTJSqHrbXOQxOY8tdLfyXXpBsI__PWTSRIH-ByQQb-sZPQwbGR4Secn5x3pfSs0QBtbOnTA&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c
326602909,"Москва, САО, р-н Беговой, м. Белорусская, Ленинградский проспект, 15С10",282.0,https://www.cian.ru/rent/commercial/326602909/?context=4.CJFLT4VDgGY.O0XCBV5DOWrCXzOrI5esl4Cvjxs6sDVVJ8aaTJSqHrbXOQxOY8tdLfyXXpBsI__PWTSRIH-ByQQb-sZPQwbGR4Secn5x3pfSs0QBtbOnTA&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c
326602909,"Москва, САО, р-н Беговой, м. Белорусская, Ленинградский проспект, 15С10",151.0,https://www.cian.ru/rent/commercial/326602909/?context=4.CJFLT4VDgGY.O0XCBV5DOWrCXzOrI5esl4Cvjxs6sDVVJ8aaTJSqHrbXOQxOY8tdLfyXXpBsI__PWTSRIH-ByQQb-sZPQwbGR4Secn5x3pfSs0QBtbOnTA&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c
330168660,"Москва, САО, р-н Дмитровский, м. Лианозово, Дмитровское шоссе, 157С12",165.0,https://www.cian.ru/rent/commercial/330168660/?context=4.xouRpdMQSlE.eRSvkxh7vraVtqjoovDfjxT5e36dvYaExrCkvkp1rmICLi8PmfNqXumL_wc0mF-BtUr4OHqZoaM-Nl3lksTZw36st56jZUDevG3OK0CY0g&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c
330168660,"Москва, САО, р-н Дмитровский, м. Лианозово, Дмитровское шоссе, 157С12",155.0,https://www.cian.ru/rent/commercial/330168660/?context=4.xouRpdMQSlE.eRSvkxh7vraVtqjoovDfjxT5e36dvYaExrCkvkp1rmICLi8PmfNqXumL_wc0mF-BtUr4OHqZoaM-Nl3lksTZw36st56jZUDevG3OK0CY0g&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c
330161330,"Москва, СВАО, р-н Отрадное, м. Дегунино, Алтуфьевское шоссе, 37С42",425.0,https://www.cian.ru/rent/commercial/330161330/?context=4.Yu2M1awqyMk.5oeep_X_MoRaLa9g3sGCodu_I8ItriG23Lp9-04ZhpITsw0oZeHN6CjJVRDwlEBgrVWCmrm9foDBWAOwkcH7FoZK2c4G-HNtVrvojs4PTA&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c
330161330,"Москва, СВАО, р-н Отрадное, м. Дегунино, Алтуфьевское шоссе, 37С42",535.0,https://www.cian.ru/rent/commercial/330161330/?context=4.Yu2M1awqyMk.5oeep_X_MoRaLa9g3sGCodu_I8ItriG23Lp9-04ZhpITsw0oZeHN6CjJVRDwlEBgrVWCmrm9foDBWAOwkcH7FoZK2c4G-HNtVrvojs4PTA&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c
330161330,"Москва, СВАО, р-н Отрадное, м. Дегунино, Алтуфьевское шоссе, 37С42",412.0,https://www.cian.ru/rent/commercial/330161330/?context=4.Yu2M1awqyMk.5oeep_X_MoRaLa9g3sGCodu_I8ItriG23Lp9-04ZhpITsw0oZeHN6CjJVRDwlEBgrVWCmrm9foDBWAOwkcH7FoZK2c4G-HNtVrvojs4PTA&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c
330161330,"Москва, СВАО, р-н Отрадное, м. Дегунино, Алтуфьевское шоссе, 37С42",415.0,https://www.cian.ru/rent/commercial/330161330/?context=4.Yu2M1awqyMk.5oeep_X_MoRaLa9g3sGCodu_I8ItriG23Lp9-04ZhpITsw0oZeHN6CjJVRDwlEBgrVWCmrm9foDBWAOwkcH7FoZK2c4G-HNtVrvojs4PTA&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c
330177724,"Москва, ЮАО, р-н Нагорный, м. Нагорная, Электролитный проезд, 3С2",167.0,https://www.cian.ru/rent/commercial/330177724/?context=4.2CVXwcsqgio.71z9EYS6zDs0eHGoU7VNDBHKqfvxrkoac2l6LXUMcP4Xh-XUSRxhUZcwV2HpaUTSDQ6A8cTQgtBVxMJ71xmcQwciKDTcQ2y2qrhwWSeTKg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c
324987874,"Москва, ЦАО, р-н Басманный, м. Лубянка, Мясницкая улица, 8/2",203.7,https://www.cian.ru/rent/commercial/324987874/?context=4.9CXSfdaTfCs.jdC9jcuNsl88uIPd9v46M5OwAVeGhAoHScEiV28u16Ccnm4oyKoaPgw7RgloT7WtYKbf4widkrVi7MHMscFeKxSk06oBSiuf9YFnHtqVbg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c
330659779,"Москва, ВАО, р-н Измайлово, м. Соколиная гора, улица 1-я Измайловского Зверинца, 8",480.0,https://www.cian.ru/rent/commercial/330659779/?context=4.lfFAmlYW22E.z6C7OevnU20MmCu517cVv4qSLQziaayASgVHzBbpQAvlWUtDOoZte4S2AzyyYauUUdQ5VvbpuPXkGbqix1eeNidvqOXVCvimR1qQQBJpRQ&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c
330659779,"Москва, ВАО, р-н Измайлово, м. Соколиная гора, улица 1-я Измайловского Зверинца, 8",430.0,https://www.cian.ru/rent/commercial/330659779/?context=4.lfFAmlYW22E.z6C7OevnU20MmCu517cVv4qSLQziaayASgVHzBbpQAvlWUtDOoZte4S2AzyyYauUUdQ5VvbpuPXkGbqix1eeNidvqOXVCvimR1qQQBJpRQ&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c
330659779,"Москва, ВАО, р-н Измайлово, м. Соколиная гора, улица 1-я Измайловского Зверинца, 8",502.0,https://www.cian.ru/rent/commercial/330659779/?context=4.lfFAmlYW22E.z6C7OevnU20MmCu517cVv4qSLQziaayASgVHzBbpQAvlWUtDOoZte4S2AzyyYauUUdQ5VvbpuPXkGbqix1eeNidvqOXVCvimR1qQQBJpRQ&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c
330684453,"Москва, НАО (Новомосковский), м. Ольховая, улица 6-я Нововатутинская, 2",320.0,https://www.cian.ru/rent/commercial/330684453/?context=4.HZ2nlz0hCMQ.LPqiAzkjX33ktwqyUFB-iy6aPoCV-VjzmceZds1oD70I823JhFSaZNRCX4gaJhZSiDgGd7m-dfYCQc5Kg9aNS2BIGhm7kYK1oBOwv0mGbw&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c
330684453,"Москва, НАО (Новомосковский), м. Ольховая, улица 6-я Нововатутинская, 2",220.0,https://www.cian.ru/rent/commercial/330684453/?context=4.HZ2nlz0hCMQ.LPqiAzkjX33ktwqyUFB-iy6aPoCV-VjzmceZds1oD70I823JhFSaZNRCX4gaJhZSiDgGd7m-dfYCQc5Kg9aNS2BIGhm7kYK1oBOwv0mGbw&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c
330578930,"Москва, ВАО, р-н Измайлово, м. Соколиная гора, улица 1-я Измайловского Зверинца, 8",400.0,https://www.cian.ru/rent/commercial/330578930/?context=4.7Ul5H-l31Lw.AfBKilu0n6K6lqtaeBtP8czwNbJqq7NfFM8JMKJJ3PLbxz1YzbMctN2Ctr-UmDHlMl1D5x7Vfu3ILgOe2Bmys1Q-CJWt1_YFi-LkkrrZLg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c
