Полный адрес помещения,"Торговая площадь, вещественный",url,Месяц,"Дата открытия, категориальный","Торговая площадь, категориальный",Населенный пункт,Регион,Численность населения,Количество домохозяйств,"Трафик пеший, в час","Трафик авто, в час","Маркетплейсы, доставки, постаматы (100 м)",Медицинские уч. и аптеки (300 м),Школы (300 м),Остановки (300 м),Продуктовые магазины (500 м),Пятерочки (500 м),Ожидаемый трафик,Ожидаемый средний чек,Ожидаемая выручка
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,1,Новый,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,59737.914,941.4731715513823,56241643.355443716
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,2,Новый,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,60019.171,937.5223832630401,56269316.23739194
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,3,Новый,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,62045.315,942.1196591670233,58454111.0207106
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,4,Новый,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,61997.215,915.0576698875525,56731027.097417615
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,5,Новый,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,62408.26,902.2187038304376,56305899.44551294
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,6,Новый,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,61404.593,885.3742800044679,54366047.31634239
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,7,Новый,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,61343.963,886.190047475543,54362409.48330796
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,8,Новый,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,61270.68,889.3279189463353,54489726.336826846
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,9,Новый,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,63183.856,912.104868944246,57630302.69627211
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,10,Новый,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,62791.549,947.6393452436781,59503742.38119633
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,11,Новый,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,61587.001,973.9404122598187,59982069.143785864
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,12,Новый,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,61693.775,1136.0664073814564,70088225.32204992
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,1,Средний по возрасту,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,60097.561,1073.3963829540985,64508504.60176329
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,2,Средний по возрасту,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,60444.492,1075.5506624688571,65011113.41319353
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,3,Средний по возрасту,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,62673.322,1093.92811088861,68560108.73857357
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,4,Средний по возрасту,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,62865.091,1054.5381681586603,66293637.90426748
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,5,Средний по возрасту,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,63323.358,1040.40979433892,65882241.8736298
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,6,Средний по возрасту,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,62324.254,1021.2577094892042,63649124.885663375
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,7,Средний по возрасту,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,62136.262,1000.0669608897839,62140422.699391365
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,8,Средний по возрасту,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,62120.064,1005.5535414198214,62465050.348425955
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,9,Средний по возрасту,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,63875.024,1025.2317362783438,65486701.76034088
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,10,Средний по возрасту,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,63366.326,1071.8481603432645,67919079.95081156
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,11,Средний по возрасту,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,62047.664,1096.133950536961,68012551.06190997
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,12,Средний по возрасту,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,62181.13,1221.5033060318349,75954455.8677953
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,1,Открыт давно,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,61549.014,1094.6301500078036,67373406.4276524
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,2,Открыт давно,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,61809.907,1087.383828091745,67211093.28765474
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,3,Открыт давно,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,63883.598,1099.09808623554,70214340.30364057
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,4,Открыт давно,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,63952.627,1069.3300120152421,68386463.3983163
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,5,Открыт давно,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,64474.641,1056.3203053355085,68105872.4675173
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,6,Открыт давно,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,63464.71,1032.3286556288228,65516438.75417311
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,7,Открыт давно,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,63425.59,1017.0259776411361,64505472.67721587
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,8,Открыт давно,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,63340.557,1021.4873336785502,64701576.68364423
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,9,Открыт давно,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,64966.88,1030.53598388202,66950707.60054512
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,10,Открыт давно,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,64649.104,1077.0860427346115,69632647.59369834
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,11,Открыт давно,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,63413.609,1105.0083845360132,70072569.63868839
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",265.5,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,12,Открыт давно,Маленький,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,63488.169,1187.8134889592504,75412103.52752453
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",340.8,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,1,Новый,Средний,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,67045.354,1158.3827837079584,77664183.80120552
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",340.8,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,2,Новый,Средний,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,67638.658,1152.9141341556904,77981564.82352285
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",340.8,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,3,Новый,Средний,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,70745.324,1156.3834102120434,81808719.0236759
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",340.8,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,4,Новый,Средний,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,71203.276,1121.844247280261,79878985.56810868
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",340.8,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,5,Новый,Средний,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,71657.962,1110.993605024103,79611537.53106019
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",340.8,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,6,Новый,Средний,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,71241.838,1079.2519160252432,76887890.16265999
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",340.8,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,7,Новый,Средний,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,71657.194,1082.2743810529198,77552745.284339
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",340.8,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,8,Новый,Средний,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,72012.11,1090.1381142338425,78503145.79740004
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",340.8,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,9,Новый,Средний,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,73642.612,1115.6741416589184,82161157.93262076
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",340.8,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,10,Новый,Средний,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,72202.153,1166.2585930090336,84206381.37000299
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Рочдельская улица, 15С13",340.8,https://www.cian.ru/rent/commercial/306607073/?context=4.WysWzeexRQ8.WvfBJq0_Vc6CULY1smjOtB544VA3DWDjNIZju68PnQZ9rogCIhGlARxabfWw5cGNl55B_O4G2gjXflBDNEY80AsDH3ia-MHl-DphukmZvg&mlSearchSessionGuid=0c629e4c7b671a185f1867caa5bb378c,11,Новый,Средний,Москва г,Москва г,12506468,6414.0,158.8125,150.416667,0,0,2,2,4,0,70742.599,1190.5959649103147,84225852.91666846
