iter	RMSE
0	305.667147
1	297.9752173
2	290.7986506
3	284.0972895
4	277.9422236
5	272.149315
6	266.8633939
7	261.8478661
8	257.2179963
9	252.987189
10	249.0682215
11	245.4204684
12	242.0732158
13	238.9519388
14	236.1056771
15	233.4759463
16	231.003549
17	228.7500926
18	226.6148657
19	224.6427358
20	222.8021449
21	221.0663321
22	219.4577284
23	217.9979741
24	216.6069817
25	215.2521098
26	214.0647968
27	213.0189552
28	212.0351839
29	210.9797228
30	209.9850071
31	209.0188074
32	208.1679822
33	207.2954368
34	206.5322465
35	205.8610554
36	205.1160699
37	204.423728
38	203.7241259
39	203.1296686
40	202.4733049
41	201.8877152
42	201.3728085
43	200.6898567
44	200.1627386
45	199.7092921
46	199.2211866
47	198.7859083
48	198.4341784
49	197.9831767
50	197.6209969
51	197.1482128
52	196.7709328
53	196.4440828
54	196.0470561
55	195.6029297
56	195.1563362
57	194.767483
58	194.3714823
59	194.0998157
60	193.7458166
61	193.5247563
62	193.186089
63	192.8166632
64	192.5414193
65	192.1479354
66	191.9022094
67	191.6227178
68	191.3337665
69	191.0205023
70	190.8197249
71	190.6165494
72	190.3498485
73	190.0930732
74	189.8905122
75	189.6650535
76	189.4633783
77	189.2624738
78	189.0902313
79	188.8613775
80	188.4893273
81	188.348964
82	188.1120785
83	187.8648583
84	187.5723774
85	187.316942
86	187.1458268
87	186.9822057
88	186.6889336
89	186.5039894
90	186.237897
91	185.922119
92	185.7983136
93	185.5873248
94	185.3885893
95	185.285265
96	185.1096876
97	184.9532244
98	184.7920417
99	184.5371485
100	184.2647737
101	184.0663109
102	183.9076634
103	183.7023077
104	183.5519289
105	183.2856506
106	183.0573256
107	182.8551777
108	182.6655892
109	182.558264
110	182.4562314
111	182.3460028
112	182.1626965
113	182.0078499
114	181.8569861
115	181.5917884
116	181.4004813
117	181.2799972
118	181.1567063
119	181.0639833
120	180.9129224
121	180.7067444
122	180.4477172
123	180.3328342
124	180.0761397
125	179.9532463
126	179.8498467
127	179.7298899
128	179.4414227
129	179.2982124
130	179.0955551
131	178.9741245
132	178.8638929
133	178.7777323
134	178.6797266
135	178.5876958
136	178.3254405
137	178.1729664
138	178.0872323
139	177.9117356
140	177.7816861
141	177.6804812
142	177.5619495
143	177.484613
144	177.3163456
145	177.2027747
146	177.0235934
147	176.8820252
148	176.7677028
149	176.6212036
150	176.463275
151	176.2446151
152	176.0070893
153	175.8729015
154	175.7497215
155	175.6841531
156	175.5122158
157	175.4064104
158	175.3351792
159	175.2239026
160	174.9995276
161	174.8616255
162	174.6866129
163	174.5849088
164	174.5089971
165	174.4387485
166	174.2565427
167	174.052243
168	173.9259539
169	173.7449764
170	173.4361108
171	173.3424475
172	173.2498076
173	173.0595042
174	172.9261148
175	172.7230489
176	172.6037532
177	172.4540356
178	172.3378414
179	172.1943374
180	172.1129607
181	172.0141781
182	171.8829512
183	171.7430805
184	171.6582641
185	171.4581817
186	171.3145994
187	171.1765702
188	171.0900234
189	170.971944
190	170.754706
191	170.6400381
192	170.4393364
193	170.3775488
194	170.2109217
195	170.1494238
196	170.0340658
197	169.9811368
198	169.8364553
199	169.6681765
200	169.4804876
201	169.3188579
202	169.2088054
203	169.1382752
204	169.0194833
205	168.9165709
206	168.8172043
207	168.7158634
208	168.6290908
209	168.4944409
210	168.2511262
211	168.143647
212	168.0559502
213	167.8631861
214	167.7364491
215	167.5217487
216	167.4334026
217	167.3747707
218	167.1541121
219	166.9940357
220	166.9084788
221	166.8334668
222	166.663735
223	166.5750081
224	166.515773
225	166.4174109
226	166.2701308
227	166.0954232
228	165.9731039
229	165.9087193
230	165.8039343
231	165.6457589
232	165.524502
233	165.368026
234	165.2646528
235	165.1008556
236	164.9910372
237	164.8148026
238	164.7096616
239	164.4684053
240	164.3271745
241	164.2085436
242	163.9885068
243	163.8828609
244	163.7892877
245	163.6809853
246	163.5674377
247	163.4974678
248	163.339364
249	163.1672221
250	163.024235
251	162.9117744
252	162.7877823
253	162.6620583
254	162.5583729
255	162.5074867
256	162.2792863
257	162.1209399
258	162.0250455
259	161.8485669
260	161.7314981
261	161.6673863
262	161.5446172
263	161.4384477
264	161.2981124
265	161.1742005
266	161.0634053
267	160.9692317
268	160.9137086
269	160.7266588
270	160.6433019
271	160.5561929
272	160.3990959
273	160.2442451
274	160.0691575
275	159.9329274
276	159.7747628
277	159.6790039
278	159.5265309
279	159.4693157
280	159.385814
281	159.1767099
282	159.0689153
283	158.9709754
284	158.79699
285	158.6854045
286	158.5583962
287	158.476275
288	158.3623632
289	158.1452532
290	158.0588783
291	157.9290708
292	157.8185437
293	157.6921118
294	157.6198211
295	157.4978898
296	157.3739695
297	157.2047978
298	156.9615357
299	156.8676359
300	156.6950564
301	156.5823368
302	156.4614276
303	156.3877499
304	156.224957
305	156.1844558
306	156.1007915
307	155.9873002
308	155.8557793
309	155.7554
310	155.6346957
311	155.5094924
312	155.3605833
313	155.2551182
314	155.1565131
315	155.0503454
316	154.9283583
317	154.8275009
318	154.731633
319	154.599968
320	154.4791097
321	154.4006729
322	154.3008294
323	154.1143081
324	154.0410611
325	153.948638
326	153.8259619
327	153.7111806
328	153.5872853
329	153.4631873
330	153.3562838
331	153.2911153
332	153.2245851
333	153.0628362
334	152.9775472
335	152.8865267
336	152.7794822
337	152.7153553
338	152.6349177
339	152.5311785
340	152.4345399
341	152.3523262
342	152.2287633
343	152.134826
344	151.9900137
345	151.8653596
346	151.7693811
347	151.6483825
348	151.500508
349	151.351955
350	151.2662405
351	151.1907222
352	151.0418011
353	150.9426191
354	150.8006391
355	150.6780133
356	150.5807423
357	150.4689066
358	150.3185284
359	150.2110274
360	150.1135994
361	149.9522402
362	149.8502658
363	149.7304262
364	149.6160163
365	149.5305046
366	149.4790146
367	149.3827595
368	149.2463098
369	149.0865457
370	148.9522577
371	148.8018561
372	148.6849295
373	148.5356028
374	148.433392
375	148.3209684
376	148.2546676
377	148.1051365
378	148.0343556
379	147.9283746
380	147.7789477
381	147.6552833
382	147.5530894
383	147.4784582
384	147.353234
385	147.2697672
386	147.201053
387	147.1093468
388	147.0650683
389	147.0257443
390	146.9217684
391	146.8264346
392	146.6727973
393	146.5649754
394	146.4517237
395	146.3195019
396	146.2063009
397	146.0714849
398	145.9766808
399	145.924765
400	145.8547333
401	145.7670225
402	145.673024
403	145.6027346
404	145.4860794
405	145.3150129
406	145.2146844
407	145.1364391
408	145.0470719
409	144.9733202
410	144.882137
411	144.8031605
412	144.6597955
413	144.5918304
414	144.4882649
415	144.4046526
416	144.2918617
417	144.1800092
418	144.085382
419	143.951912
420	143.8089444
421	143.711887
422	143.5752497
423	143.4748654
424	143.4288375
425	143.3693446
426	143.2137934
427	143.1559912
428	143.0693735
429	142.9674165
430	142.903372
431	142.8198947
432	142.7320766
433	142.6699842
434	142.5382951
435	142.3939481
436	142.3235335
437	142.2170484
438	142.1627246
439	142.0573211
440	141.9877363
441	141.8935112
442	141.7979583
443	141.6856775
444	141.5598152
445	141.465477
446	141.3505143
447	141.2642564
448	141.1657571
449	141.0904706
450	140.9698734
451	140.9041944
452	140.7598758
453	140.6937961
454	140.6329862
455	140.5141376
456	140.4434519
457	140.3230191
458	140.2809078
459	140.2286115
460	140.0744262
461	139.9659876
462	139.9117502
463	139.8151719
464	139.6966443
465	139.6446638
466	139.5676553
467	139.530364
468	139.4125072
469	139.3295505
470	139.2428559
471	139.1587824
472	139.0429878
473	138.9829925
474	138.8456997
475	138.746763
476	138.6074893
477	138.4413763
478	138.3551886
479	138.3035665
480	138.2027935
481	138.0919296
482	138.042136
483	137.9421051
484	137.8735669
485	137.7466608
486	137.6484712
487	137.5070541
488	137.4430649
489	137.3638497
490	137.2565606
491	137.1863933
492	137.13726
493	137.021396
494	136.8861514
495	136.8532497
496	136.79074
497	136.6813045
498	136.6258745
499	136.4831358
