iter	Passed	Remaining
415	3635	734
416	3644	725
417	3653	716
418	3661	707
419	3670	699
420	3678	690
421	3687	681
422	3697	672
423	3706	664
424	3714	655
425	3723	646
426	3732	638
427	3741	629
428	3749	620
429	3758	611
430	3767	603
431	3776	594
432	3785	585
433	3793	576
434	3802	568
435	3810	559
436	3819	550
437	3827	541
438	3836	533
439	3845	524
440	3853	515
441	3862	506
442	3871	498
443	3879	489
444	3889	480
445	3898	471
446	3906	463
447	3915	454
448	3924	445
449	3932	436
450	3940	428
451	3949	419
452	3957	410
453	3966	401
454	3974	393
455	3983	384
456	3992	375
457	4000	366
458	4009	358
459	4018	349
460	4027	340
461	4035	331
462	4044	323
463	4053	314
464	4060	305
465	4069	296
466	4079	288
467	4088	279
468	4097	270
469	4105	262
470	4114	253
471	4123	244
472	4131	235
473	4139	227
474	4148	218
475	4157	209
476	4165	200
477	4174	192
478	4183	183
479	4191	174
480	4200	165
481	4209	157
482	4218	148
483	4226	139
484	4234	130
485	4243	122
486	4252	113
487	4260	104
488	4269	96
489	4278	87
490	4286	78
491	4294	69
492	4303	61
493	4312	52
494	4322	43
495	4331	34
496	4339	26
497	4348	17
498	4356	8
499	4365	0
